iter	Passed	Remaining
0	138	138466
1	147	73477
2	152	50654
3	164	40975
4	170	33903
5	176	29296
6	181	25793
7	189	23486
8	194	21367
9	199	19709
10	205	18495
11	210	17321
12	215	16331
13	221	15615
14	226	14860
15	231	14237
16	236	13701
17	242	13241
18	252	13022
19	261	12814
20	286	13366
21	303	13500
22	312	13274
23	321	13072
24	332	12949
25	344	12915
26	352	12706
27	358	12432
28	362	12144
29	377	12214
30	382	11954
31	399	12084
32	409	12009
33	416	11830
34	423	11669
35	430	11531
36	435	11346
37	467	11840
38	474	11688
39	477	11465
40	487	11406
41	495	11300
42	518	11546
43	525	11406
44	533	11313
45	538	11168
46	545	11060
47	551	10941
48	600	11659
49	612	11639
50	619	11535
51	628	11463
52	634	11334
53	649	11376
54	665	11431
55	676	11401
56	682	11289
57	691	11233
58	701	11191
59	710	11129
60	717	11038
61	724	10959
62	727	10821
63	732	10719
64	739	10640
65	745	10550
66	754	10510
67	760	10422
68	764	10317
69	768	10208
70	774	10138
71	783	10092
72	789	10025
73	795	9950
74	800	9874
75	806	9801
76	809	9703
77	816	9645
78	822	9586
79	827	9516
80	831	9430
81	836	9366
82	841	9300
83	848	9248
84	853	9192
85	859	9138
86	865	9082
87	873	9049
88	881	9019
89	888	8982
90	894	8930
91	899	8881
92	902	8804
93	907	8745
94	911	8683
95	915	8625
96	918	8552
97	923	8497
98	927	8445
99	932	8391
100	936	8338
101	942	8293
102	946	8243
103	951	8194
104	955	8144
105	960	8101
106	964	8052
107	969	8006
108	975	7970
109	979	7926
110	984	7886
111	989	7845
112	991	7786
113	996	7743
114	1001	7709
115	1008	7684
116	1012	7641
117	1018	7614
118	1024	7588
119	1029	7550
120	1034	7512
121	1038	7475
122	1043	7438
123	1047	7401
124	1050	7353
125	1054	7315
126	1058	7278
127	1062	7240
128	1066	7202
129	1070	7167
130	1075	7134
131	1079	7095
132	1082	7054
133	1086	7019
134	1089	6983
135	1092	6942
136	1096	6906
137	1100	6871
138	1105	6850
139	1111	6828
140	1116	6801
141	1120	6772
142	1124	6741
143	1129	6712
144	1135	6693
145	1140	6671
146	1149	6667
147	1156	6656
148	1165	6656
149	1172	6641
150	1183	6653
151	1187	6625
152	1192	6599
153	1197	6580
154	1202	6553
155	1211	6551
156	1216	6530
157	1220	6506
158	1230	6510
159	1237	6497
160	1246	6493
161	1252	6476
162	1257	6456
163	1262	6437
164	1266	6409
165	1272	6392
166	1281	6391
167	1287	6375
168	1294	6365
169	1300	6348
170	1308	6341
171	1312	6317
172	1317	6296
173	1322	6276
174	1326	6254
175	1330	6230
176	1334	6206
177	1341	6196
178	1346	6174
179	1350	6152
180	1357	6143
181	1362	6123
182	1366	6102
183	1373	6090
184	1377	6068
185	1382	6049
186	1386	6030
187	1390	6007
188	1393	5978
189	1396	5954
190	1402	5942
191	1405	5914
192	1408	5890
193	1412	5866
194	1418	5854
195	1422	5833
196	1425	5811
197	1429	5788
198	1434	5773
199	1438	5754
200	1441	5728
201	1445	5710
202	1455	5713
203	1459	5693
204	1462	5672
205	1472	5675
206	1477	5659
207	1483	5648
208	1487	5628
209	1491	5609
210	1497	5598
211	1501	5581
212	1505	5564
213	1510	5547
214	1516	5537
215	1543	5603
216	1554	5608
217	1561	5600
218	1570	5599
219	1574	5581
220	1585	5589
221	1601	5612
222	1606	5597
223	1614	5592
224	1620	5581
225	1624	5564
226	1632	5558
227	1638	5547
228	1646	5542
229	1651	5527
230	1655	5511
231	1662	5502
232	1666	5486
233	1671	5471
234	1676	5458
235	1681	5444
236	1686	5430
237	1693	5420
238	1697	5404
239	1702	5390
240	1708	5381
241	1713	5368
242	1718	5352
243	1723	5339
244	1729	5330
245	1735	5319
246	1742	5310
247	1746	5294
248	1749	5277
249	1755	5265
250	1759	5250
251	1763	5235
252	1766	5215
253	1773	5208
254	1777	5192
255	1781	5177
256	1786	5164
257	1790	5150
258	1794	5135
259	1798	5118
260	1804	5108
261	1808	5093
262	1812	5078
263	1818	5068
264	1822	5054
265	1826	5040
266	1830	5025
267	1837	5018
268	1841	5004
269	1847	4994
270	1857	4995
271	1869	5004
272	1879	5004
273	1889	5005
274	1894	4994
275	1901	4987
276	1907	4978
277	1914	4971
278	1919	4959
279	1924	4949
280	1930	4940
281	1936	4929
282	1940	4917
283	1948	4912
284	1953	4900
285	1957	4887
286	1963	4877
287	1967	4863
288	1971	4850
289	1977	4840
290	1980	4826
291	1985	4813
292	1989	4799
293	1993	4786
294	1997	4773
295	2001	4760
296	2005	4747
297	2012	4741
298	2016	4728
299	2021	4716
300	2025	4702
301	2029	4690
302	2033	4676
303	2037	4665
304	2043	4656
305	2049	4649
306	2058	4646
307	2065	4640
308	2072	4635
309	2081	4633
310	2089	4628
311	2096	4622
312	2108	4627
313	2114	4620
314	2120	4610
315	2125	4600
316	2128	4586
317	2135	4580
318	2141	4572
319	2149	4566
320	2156	4561
321	2164	4558
322	2174	4557
323	2178	4545
324	2185	4539
325	2194	4536
326	2240	4611
327	2256	4623
328	2268	4626
329	2276	4620
330	2290	4628
331	2305	4639
332	2313	4634
333	2325	4636
334	2335	4635
335	2341	4628
336	2437	4794
337	2456	4811
338	2467	4811
339	2476	4807
340	2492	4816
341	2532	4873
342	2539	4863
343	2553	4868
344	2557	4856
345	2564	4848
346	2568	4832
347	2576	4826
348	2582	4816
349	2588	4806
350	2594	4797
351	2601	4789
352	2625	4811
353	2635	4809
354	2640	4797
355	2655	4803
356	2667	4804
357	2680	4806
358	2687	4798
359	2691	4785
360	2699	4778
361	2706	4769
362	2713	4761
363	2721	4754
364	2727	4744
365	2732	4733
366	2739	4724
367	2745	4714
368	2751	4704
369	2759	4699
370	2765	4689
371	2771	4678
372	2777	4668
373	2782	4657
374	2786	4644
375	2791	4632
376	2796	4621
377	2801	4609
378	2806	4599
379	2819	4600
380	2844	4620
381	2855	4619
382	2881	4641
383	2887	4632
384	2903	4638
385	2909	4628
386	2929	4640
387	2944	4643
388	2959	4647
389	2963	4634
390	2971	4628
391	2978	4620
392	2985	4611
393	2993	4604
394	3000	4595
395	3006	4585
396	3015	4579
397	3024	4574
398	3030	4564
399	3037	4555
400	3043	4545
401	3056	4545
402	3061	4535
403	3068	4526
404	3074	4516
405	3081	4507
406	3084	4493
407	3098	4496
408	3107	4490
409	3119	4489
410	3128	4483
411	3133	4471
412	3141	4465
413	3148	4455
414	3154	4447
415	3163	4440
416	3169	4431
417	3176	4422
418	3181	4411
419	3186	4400
420	3189	4387
421	3196	4378
422	3204	4371
423	3209	4359
424	3214	4348
425	3220	4339
426	3225	4328
427	3231	4318
428	3239	4311
429	3246	4303
430	3257	4300
431	3265	4293
432	3274	4287
433	3288	4288
434	3294	4279
435	3301	4271
436	3309	4263
437	3316	4255
438	3323	4246
439	3328	4236
440	3336	4228
441	3339	4215
442	3344	4205
443	3351	4197
444	3357	4187
445	3366	4181
446	3371	4171
447	3377	4161
448	3388	4158
449	3392	4146
450	3397	4135
451	3402	4125
452	3409	4116
453	3413	4104
454	3416	4092
455	3421	4081
456	3426	4071
457	3429	4058
458	3433	4046
459	3440	4038
460	3445	4028
461	3451	4018
462	3456	4008
463	3461	3998
464	3465	3986
465	3470	3977
466	3476	3967
467	3481	3957
468	3487	3948
469	3492	3938
470	3497	3928
471	3507	3923
472	3515	3916
473	3551	3941
474	3600	3979
475	3612	3976
476	3616	3964
477	3629	3963
478	3640	3959
479	3649	3953
480	3664	3954
481	3674	3948
482	3687	3947
483	3694	3939
484	3707	3936
485	3710	3924
486	3722	3920
487	3730	3913
488	3739	3908
489	3754	3907
490	3761	3898
491	3771	3893
492	3776	3883
493	3783	3875
494	3790	3866
